City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,byron bay,-28.65,153.6167,23.73,54,5,5.01,AU,1691889171
174,sao joao da barra,-21.6403,-41.0511,22.69,87,54,3.42,BR,1691889381
175,tessalit,20.1986,1.0114,34.29,27,16,2.79,ML,1691889381
176,husavik,66.0449,-17.3389,7.43,91,57,1.27,IS,1691889382
177,kahului,20.8947,-156.47,31.01,56,20,10.8,US,1691889382
178,veshenskaya,49.6303,41.7334,20.38,74,2,3.32,RU,1691889383
179,zemio,5.0314,25.1361,20.42,98,100,0.74,CF,1691889383
180,westport,41.1415,-73.3579,25.97,84,20,5.14,US,1691889202
181,tsabong,-26.0217,22.401,14.1,39,0,2.75,BW,1691889384
182,xining,36.6167,101.7667,17.64,57,4,1.11,CN,1691889384
183,coihaique,-45.5752,-72.0662,-0.03,100,100,0.0,CL,1691889385
184,nome,64.5011,-165.4064,23.04,57,0,7.2,US,1691889385
185,kapit,2.0167,112.9333,26.68,86,47,0.67,MY,1691889386
186,cascas,-7.4833,-78.8167,19.27,77,62,0.62,PE,1691889386
187,monte alegre de minas,-18.8706,-48.8808,26.24,25,87,1.84,BR,1691889387
188,castro,-24.7911,-50.0119,13.84,99,100,1.51,BR,1691889172
189,poso,-1.3959,120.7524,28.24,66,100,1.35,ID,1691889387
190,airai,-8.9266,125.4092,19.93,55,13,1.8,TL,1691889388
191,saint-augustin,51.226,-58.6502,13.23,87,94,6.32,CA,1691889388
192,sweetwater,25.7634,-80.3731,30.01,80,75,5.66,US,1691889389
193,lompoc,34.6391,-120.4579,27.79,74,0,4.63,US,1691889389
194,ilulissat,69.2167,-51.1,6.01,93,75,2.06,GL,1691889389
195,radhanpur,23.8333,71.6,27.03,74,100,6.74,IN,1691889390
196,sayyan,15.1718,44.3244,17.25,55,8,0.69,YE,1691889391
197,paralimni,35.0375,33.9833,27.31,68,4,2.24,CY,1691889391
198,fasa,28.9383,53.6482,24.58,22,0,0.0,IR,1691889391
199,karla,59.3723,24.9275,12.21,87,0,1.54,EE,1691889392
200,kavieng,-2.5744,150.7967,26.05,86,100,4.28,PG,1691889392
201,kokopo,-4.352,152.2633,27.3,78,100,8.22,PG,1691889393
202,luderitz,-26.6481,15.1594,12.21,96,100,3.47,NA,1691889393
203,cayenne,4.9333,-52.3333,26.02,89,0,1.54,GF,1691889393
204,erenhot,43.6475,111.9767,25.54,30,0,3.52,CN,1691889394
205,manicore,-5.8092,-61.3003,26.5,60,27,1.15,BR,1691889394
206,chimbote,-9.0853,-78.5783,20.17,81,16,4.11,PE,1691889394
207,petropavlovsk-kamchatskiy,53.0452,158.6483,15.33,82,75,5.0,RU,1691889322
208,kaitangata,-46.2817,169.8464,8.7,90,100,1.26,NZ,1691889396
209,pangnirtung,66.1451,-65.7125,8.57,70,18,1.35,CA,1691889396
210,lodja,-3.4833,23.4333,20.86,85,100,1.22,CD,1691889396
211,upernavik,72.7868,-56.1549,5.71,98,100,1.71,GL,1691889397
212,nemuro,43.3236,145.575,14.34,95,100,8.18,JP,1691889397
213,turayf,31.6725,38.6637,31.14,13,40,3.09,SA,1691889398
214,paamiut,61.994,-49.6678,6.85,81,72,1.88,GL,1691889398
215,banda aceh,5.5577,95.3222,27.58,75,93,5.26,ID,1691889399
216,pipar,26.3856,73.5378,25.3,82,98,6.0,IN,1691889399
217,yerbogachen,61.2767,108.0108,16.08,96,100,1.63,RU,1691889399
218,torbay,47.6666,-52.7314,17.54,88,75,8.23,CA,1691889399
219,wabana,47.6332,-52.9481,17.43,89,75,8.23,CA,1691889400
220,bastrop,32.7562,-91.8724,32.82,68,0,0.0,US,1691889400
221,novyy urengoy,66.0833,76.6333,7.86,50,0,6.57,RU,1691889400
222,vao,-22.6667,167.4833,19.06,52,0,1.73,NC,1691889401
223,gayny,60.3071,54.3241,13.05,83,6,0.84,RU,1691889402
224,celestun,20.8667,-90.4,29.5,75,5,8.39,MX,1691889402
225,nioro,13.35,-15.75,24.34,93,99,4.12,GM,1691889402
226,biloela,-24.4167,150.5,22.98,37,6,4.41,AU,1691889403
227,sivas,39.7916,37.0019,14.35,76,0,1.03,TR,1691889403
228,nacala,-14.5428,40.6728,18.94,89,0,2.76,MZ,1691889403
229,constitucion,-35.3333,-72.4167,11.34,65,45,3.4,CL,1691889404
230,kitale,1.0157,35.0062,11.95,92,5,0.65,KE,1691889404
231,piacabucu,-10.4056,-36.4344,22.58,82,11,3.99,BR,1691889404
232,port elizabeth,-33.918,25.5701,15.61,88,20,7.72,ZA,1691889405
233,marystown,47.1666,-55.1483,16.03,100,9,2.68,CA,1691889405
234,altus,34.6381,-99.334,31.73,78,75,15.95,US,1691889405
235,honiara,-9.4333,159.95,29.53,69,57,2.54,SB,1691889406
236,omboue,-1.5746,9.2618,23.08,88,91,4.51,GA,1691889406
237,tandil,-37.3217,-59.1332,0.38,65,55,1.97,AR,1691889406
238,aasiaat,68.7098,-52.8699,4.03,97,100,3.0,GL,1691889407
239,nokaneng,-19.6667,22.2667,16.75,32,5,4.61,BW,1691889407
240,nanortalik,60.1432,-45.2371,7.61,73,28,2.24,GL,1691889407
241,yar-sale,66.8333,70.8333,10.54,50,58,1.32,RU,1691889407
242,port blair,11.6667,92.75,27.02,89,40,2.06,IN,1691889408
243,makat,47.6469,53.3463,23.66,26,89,3.51,KZ,1691889408
244,tuatapere,-46.1333,167.6833,8.6,87,94,2.55,NZ,1691889408
245,ruteng,-8.6136,120.4721,20.04,65,88,0.73,ID,1691889409
246,ishigaki,24.3448,124.1572,31.07,79,20,2.06,JP,1691889409
247,victoria,22.2855,114.1577,30.54,81,100,4.02,HK,1691889409
248,gizo,-8.103,156.8419,26.59,85,58,8.87,SB,1691889410
249,preobrazheniye,42.9019,133.9064,21.78,76,5,6.21,RU,1691889410
250,tilichiki,60.4667,166.1,16.72,58,91,5.89,RU,1691889410
251,galesong,-5.3166,119.3661,28.01,65,64,2.44,ID,1691889411
252,lena,43.1,-5.7333,12.17,96,85,1.39,ES,1691889411
253,longyearbyen,78.2186,15.6401,8.91,93,75,2.57,SJ,1691889412
254,taltal,-25.4,-70.4833,15.05,84,0,0.44,CL,1691889372
255,la ronge,55.1001,-105.2842,18.12,82,75,1.54,CA,1691889412
256,ixtapa,20.7,-105.2,30.68,62,100,1.54,MX,1691889412
257,esperance,-33.8667,121.9,13.41,88,97,3.58,AU,1691889413
258,ulladulla,-35.35,150.4667,14.59,63,64,1.82,AU,1691889413
259,auki,-8.7676,160.7034,28.86,69,64,4.93,SB,1691889414
260,narsaq,60.9167,-46.05,9.12,69,12,0.4,GL,1691889414
261,krasnoselkup,65.7,82.4667,9.56,67,9,7.17,RU,1691889414
262,sira,13.7453,76.9092,21.67,82,100,4.31,IN,1691889415
263,miles city,46.4083,-105.8406,27.54,28,20,6.17,US,1691889415
264,biak,-0.9131,122.8766,26.33,72,72,2.92,ID,1691889415
265,san luis,-33.295,-66.3356,9.6,34,89,4.1,AR,1691889139
266,coquimbo,-29.9533,-71.3436,13.85,94,100,2.06,CL,1691889197
267,zherdevka,51.8486,41.4606,18.64,89,80,3.48,RU,1691889416
268,georgiyevka,43.0369,74.7114,16.02,72,0,3.0,KZ,1691889416
269,mahajanga,-15.7167,46.3167,21.95,78,5,1.54,MG,1691889417
270,aranos,-24.1333,19.1167,12.95,19,9,3.4,NA,1691889417
271,turukhansk,65.8167,87.9833,15.69,83,100,3.51,RU,1691889417
272,lagoa,39.05,-27.9833,23.42,88,100,1.34,PT,1691889418
273,batagay,67.6333,134.6333,18.21,56,100,2.69,RU,1691889418
274,ghanzi,-21.5667,21.7833,15.87,36,5,4.89,BW,1691889418
275,lahij,13.1667,44.5833,28.55,51,4,1.63,YE,1691889418
276,comodoro rivadavia,-45.8667,-67.5,5.92,65,40,1.54,AR,1691889419
277,marawi,7.9986,124.2928,24.75,75,100,1.1,PH,1691889419
278,ravenna,44.4167,11.9833,24.95,90,2,1.38,IT,1691889419
279,bonavista,48.6499,-53.1147,16.12,80,0,7.59,CA,1691889420
280,kuytun,54.3419,101.5036,17.7,91,100,2.82,RU,1691889420
281,hamilton,39.1834,-84.5333,28.35,73,40,2.57,US,1691889357
282,isiro,2.7739,27.616,19.57,99,100,1.37,CD,1691889421
283,odweyne,9.4092,45.064,23.06,55,5,6.57,SO,1691889421
284,saryg-sep,51.5,95.6,16.58,83,100,0.35,RU,1691889422
285,gold coast,-28.0,153.4333,27.24,61,0,3.09,AU,1691889399
286,nelson bay,-32.7167,152.15,17.27,73,71,1.79,AU,1691889423
287,samarai,-10.6167,150.6667,24.47,76,95,7.46,PG,1691889423
288,flinders,-34.5833,150.8552,17.81,66,86,1.24,AU,1691889424
289,zonnebeke,50.8726,2.9873,17.04,75,100,2.24,BE,1691889424
290,koupela,12.1794,-0.3517,25.55,83,100,3.38,BF,1691889425
291,cairns,-16.9167,145.7667,27.28,59,92,5.14,AU,1691889195
292,piopio,-38.4667,175.0167,13.94,70,100,1.67,NZ,1691889425
293,samfya,-11.3649,29.5565,13.74,64,10,3.09,ZM,1691889426
294,aksarka,66.5606,67.7975,11.47,49,17,2.07,RU,1691889426
295,pronsk,54.1048,39.6092,17.49,94,13,3.33,RU,1691889426
296,lorengau,-2.0226,147.2712,25.2,92,100,5.7,PG,1691889427
297,nouadhibou,20.931,-17.0347,26.99,78,40,1.03,MR,1691889427
298,lebu,-37.6167,-73.65,8.57,76,82,3.2,CL,1691889427
299,hanzhong,33.0728,107.0303,24.32,83,49,0.97,CN,1691889428
300,severnoye,56.3491,78.3619,7.52,88,100,3.84,RU,1691889428
301,san carlos,9.6612,-68.5827,23.8,95,66,0.94,VE,1691889429
302,burnie,-41.0667,145.9167,9.69,55,5,2.12,AU,1691889429
303,henties bay,-22.116,14.2845,11.51,90,0,1.44,NA,1691889429
304,terrace,54.5163,-128.6035,18.95,77,75,8.23,CA,1691889430
305,ahipara,-35.1667,173.1667,16.01,81,100,4.46,NZ,1691889430
306,labuhan,-6.8844,112.2051,25.43,71,22,3.7,ID,1691889430
307,san cristobal,7.7669,-72.225,24.1,91,7,1.27,VE,1691889431
308,karratha,-20.7377,116.8463,22.62,52,1,3.35,AU,1691889431
309,atikokan,48.7555,-91.6216,14.44,75,100,1.74,CA,1691889431
310,nishihara,26.1842,127.7558,31.03,76,20,2.57,JP,1691889432
311,camacha,33.0833,-16.3333,21.68,88,20,6.17,PT,1691889432
312,tubuala,9.5167,-79.0333,27.43,82,100,1.15,PA,1691889432
313,clyde,41.3042,-82.9752,24.19,68,9,3.86,US,1691889433
314,porto novo,6.4965,2.6036,24.31,87,100,3.5,BJ,1691889433
315,gamba,-2.65,10.0,21.69,93,91,3.1,GA,1691889433
316,sao felix do xingu,-6.6447,-51.995,25.02,40,0,1.07,BR,1691889211
317,brasy,49.837,13.5783,17.34,100,10,3.13,CZ,1691889434
318,sargatskoye,55.6101,73.4972,8.14,69,100,3.59,RU,1691889434
319,touros,-5.1989,-35.4608,23.84,85,14,5.5,BR,1691889435
320,sambava,-14.2667,50.1667,20.66,88,7,3.12,MG,1691889435
321,griffith,41.5284,-87.4237,27.96,60,0,2.06,US,1691889436
322,ratnagiri,16.9833,73.3,25.77,84,100,3.19,IN,1691889436
323,brokopondo,4.75,-55.1667,27.96,59,26,2.53,SR,1691889436
324,rio gallegos,-51.6226,-69.2181,2.03,69,0,3.6,AR,1691889437
325,jawhar,2.7809,45.5005,23.17,92,100,3.99,SO,1691889437
326,tias,28.9611,-13.645,26.82,54,0,3.09,ES,1691889438
327,kismayo,-0.3582,42.5454,24.45,83,18,4.9,SO,1691889438
328,salamiyah,35.0113,37.0532,30.94,25,6,0.36,SY,1691889438
329,salalah,17.0151,54.0924,26.05,94,75,2.57,OM,1691889439
330,port-gentil,-0.7193,8.7815,23.78,89,100,7.38,GA,1691889439
331,chuy,-33.6971,-53.4616,5.55,66,17,3.14,UY,1691889440
332,jumla,29.2747,82.1838,17.97,95,100,0.26,NP,1691889440
333,beni,0.5,29.4667,17.74,88,100,0.93,CD,1691889440
334,lyngseidet,69.5763,20.2189,11.0,83,95,0.35,NO,1691889441
335,tulun,54.5611,100.5792,16.87,92,100,3.26,RU,1691889441
336,maragogi,-9.0122,-35.2225,23.02,86,52,4.5,BR,1691889441
337,vyartsilya,62.1764,30.693,13.12,93,1,1.13,RU,1691889442
338,muisne,0.6,-80.0333,24.68,85,100,3.53,EC,1691889442
339,llanes,43.4198,-4.7549,19.84,84,100,0.15,ES,1691889442
340,lavrentiya,65.5833,-171.0,14.42,62,68,3.89,RU,1691889443
341,devonport,-41.1667,146.35,10.05,64,5,0.45,AU,1691889443
342,prince rupert,54.3161,-130.3201,17.05,87,100,11.32,CA,1691889403
343,quelimane,-17.8786,36.8883,18.97,88,20,1.03,MZ,1691889444
344,songadh,21.1667,73.5667,24.35,89,100,4.56,IN,1691889444
345,khandyga,62.6667,135.6,27.42,35,8,0.73,RU,1691889445
346,sukhumi,43.0033,41.0153,25.01,91,98,0.15,GE,1691889445
347,nador,35.174,-2.9287,25.14,94,0,1.03,MA,1691889446
348,kazachinskoye,57.6953,93.2761,14.04,98,100,1.5,RU,1691889446
349,atar,20.5169,-13.0499,33.74,37,11,3.1,MR,1691889446
350,atherton,53.5237,-2.4935,16.83,85,99,3.97,GB,1691889447
351,maltahohe,-24.8333,16.9833,10.64,36,91,3.44,NA,1691889447
352,chapleau,47.8405,-83.4034,13.05,100,100,4.63,CA,1691889448
353,takoradi,4.8845,-1.7554,23.81,90,92,4.73,GH,1691889448
354,ust-tsilma,65.441,52.1498,15.43,72,85,2.1,RU,1691889448
355,dunedin,-45.8742,170.5036,11.71,71,57,0.89,NZ,1691889449
356,hoima,1.4356,31.3436,17.96,88,29,0.27,UG,1691889450
357,de-kastri,51.4667,140.7833,17.38,87,100,2.89,RU,1691889450
358,port moresby,-9.4431,147.1797,26.07,67,95,5.21,PG,1691889450
359,milkovo,54.7167,158.6167,13.26,82,100,3.22,RU,1691889451
360,grindavik,63.8424,-22.4338,10.97,93,0,2.57,IS,1691889451
361,goundam,16.4145,-3.6708,33.81,36,100,3.19,ML,1691889452
362,belaya gora,68.5333,146.4167,19.2,49,100,5.08,RU,1691889452
363,sumbe,-11.2061,13.8437,19.06,91,38,3.07,AO,1691889452
364,port hueneme,34.1478,-119.1951,30.99,77,20,7.72,US,1691889453
365,alugan,12.2188,125.4808,28.06,77,99,3.78,PH,1691889453
366,saint-pierre,-21.3393,55.4781,20.87,83,0,2.57,RE,1691889453
367,geraldton,-28.7667,114.6,16.23,88,2,1.54,AU,1691889174
